vprop,maxaf,vgen,vnoise,vvarnoise,vcont,vbin,vmaf,expbin
0.2,0.01,0.1,0.95,0.1,0.3,0.3,0.3,1
0.2,0.01,0.1,0.95,0.1,0.4,0.4,0.1,10
0.2,0.01,0.1,0.95,0.1,0.35,0.35,0.2,3
